cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
1091102,9668,NORMAL,1f9dc3c5-4f2b-42c5-abd4-7768f7026fb4,1,2,2,3
1091102,9668,NORMAL,48316441-3346-4710-9a4d-83b361b9dc4e,1,1,2,3
1112700,8507,SIMPLES_NACIONAL,be02e8e9-7fab-4e2c-95e7-93eb8c13f969,1,1,1,1
1113502,9551,SIMPLES_NACIONAL,55ff3f0c-70ce-4fb6-a639-61fd9ec0e754,1,20,1,20
1321900,8390,SIMPLES_NACIONAL,e8750cef-809e-44ec-94f0-f31adfb60b2e,1,17,1,17
1340501,2743,SIMPLES_NACIONAL,3e7b2094-34c7-4949-8264-57106afb6026,1,8,4,32
1340501,2743,SIMPLES_NACIONAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,1,3,4,32
1340501,2743,SIMPLES_NACIONAL,df044554-8ad7-4a74-aee0-953b725260c1,2,21,4,32
1340501,8488,SIMPLES_NACIONAL,64e671ba-1827-473b-b7e4-3995061da716,1,2,1,2
1340501,8946,SIMPLES_NACIONAL,39859eab-944a-471d-b59b-896e5cca17b9,1,1,3,3
1340501,8946,SIMPLES_NACIONAL,40a57d62-ef5b-450c-9f09-4a402c2e40ae,1,1,3,3
1340501,8946,SIMPLES_NACIONAL,6a636294-2cf6-45dd-8e0f-55a9d08da938,1,1,3,3
1340599,2065,NORMAL,a77e6246-8d68-4b6c-9910-f6b72f6219fd,1,6,1,6
1340599,8609,SIMPLES_NACIONAL,51bd1541-403c-46ff-b36c-95eb7221bbed,1,6,1,6
1340599,8982,SIMPLES_NACIONAL,da7eecd3-cb04-4112-bd02-b3a6a6fbb2e0,1,64,1,64
1340599,9668,SIMPLES_NACIONAL,b8466708-996b-4c0d-9d32-195f0c8752f6,1,62,2,63
1340599,9668,SIMPLES_NACIONAL,e3bd1aa8-8a1e-4f9b-a9e2-454218f2cf9c,1,1,2,63
1354500,2336,SIMPLES_NACIONAL,75a2443c-a917-4f79-83b1-1baf36c4f655,1,90,1,90
1354500,6021,SIMPLES_NACIONAL,92d4c89d-55d6-4fb8-a889-260878b4c4a8,1,2,1,2
1359600,7043,SIMPLES_NACIONAL,1d85058c-b1e1-4c05-863c-d4956bca5742,1,15,4,79
1359600,7043,SIMPLES_NACIONAL,3050d579-1617-42fc-9ef5-fb23a9d5f743,1,21,4,79
1359600,7043,SIMPLES_NACIONAL,c14231ed-fd50-49fb-ba16-99f9d1b96798,1,42,4,79
1359600,7043,SIMPLES_NACIONAL,ef9ef13b-1507-42ff-bc72-2442c0c8a239,1,1,4,79
1359600,8864,SIMPLES_NACIONAL,8a846923-846c-43ff-ac68-6994727da42c,1,5,1,5
1359600,9668,SIMPLES_NACIONAL,6587783b-7786-43dc-b94b-3359874c433d,1,1,2,14
1359600,9668,SIMPLES_NACIONAL,66f39592-c613-4aed-ab26-4ba31a9526b0,1,13,2,14
1412601,243,SIMPLES_NACIONAL,b10583ed-53db-4693-98a8-636677570d74,1,2,1,2
1412601,6015,SIMPLES_NACIONAL,ec5db61b-1638-4e87-a4d7-7cf9462829d9,1,39,1,39
1412601,9058,SIMPLES_NACIONAL,4abf1000-3abd-4e6e-8d37-d5631f0e5f9e,1,3,1,3
1412601,9668,SIMPLES_NACIONAL,585dd350-005b-4474-993a-fe24853263fe,1,1,2,5
1412601,9668,SIMPLES_NACIONAL,98d52dc3-bd69-447c-8c49-4bab6500b359,1,4,2,5
1412602,7221,SIMPLES_NACIONAL,8899d6b3-6256-4129-8593-8f98630e4317,1,17,2,32
