cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,id_local_de_prestacao_nota,id_natureza_operacao_do_servico,aliquota_iss_nota,iss_retido_nota,aliquota_inss_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
1539400,2174,SIMPLES_NACIONAL,2623ca6b-3eb2-463c-83a9-1d31fe857008,2174,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,,1,2,1,2
1622699,8377,NORMAL,71245b13-a702-452c-87b4-4063becc4c3e,8377,,5,false,0,1,1,1,1
1622699,8430,SIMPLES_NACIONAL,a34d9577-4338-4306-a90a-cca22df0e543,8430,,4,false,,1,17,1,17
1623400,1150,SIMPLES_NACIONAL,c8a0ba1a-a701-4805-a21d-f523c411e2cb,1150,d2d23398-6a50-4d1e-989e-88dbc5d72b1e,5,false,,1,4,1,4
1629301,8521,SIMPLES_NACIONAL,594d745b-5188-4597-bba1-452e53557be7,8521,,5,false,,1,2,1,2
1629301,8928,NORMAL,b0a86362-d0ac-4d5c-a53f-ea27f3d6bea3,8928,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,0,1,1,1,1
1741902,6994,SIMPLES_NACIONAL,53b02d2d-e424-4f7c-9fca-2c1620c11af7,6994,,2.71,false,,1,41,2,42
1741902,6994,SIMPLES_NACIONAL,53b02d2d-e424-4f7c-9fca-2c1620c11af7,6994,,2.71,true,,1,1,2,42
1741902,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,7994,4d0fe3d7-7b26-406e-a97c-9719abc49942,0,false,,1,3,1,3
1749400,9668,SIMPLES_NACIONAL,239a6a8b-bbf1-44af-96ad-4679d3cd9f51,9668,,3.13,false,,1,3,1,3
1811301,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,2,true,,1,2,1,2
1811302,6989,SIMPLES_NACIONAL,53a1e441-8b40-489c-9325-eb5050f74902,6989,,0,false,0,1,27,1,27
1811302,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,7994,,0,false,0,1,5,2,9
1811302,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,7994,,3.81,true,0,1,4,2,9
1811302,8864,SIMPLES_NACIONAL,e1fe465b-c58e-4d2c-a70c-289ae04f8e74,8864,,5,false,0,1,1,2,5
1811302,8864,SIMPLES_NACIONAL,ec2f9feb-8ab3-4bdf-bebc-a4d2db97f750,8864,,5,false,0,1,4,2,5
1812100,2743,SIMPLES_NACIONAL,6a415005-2117-41d7-8488-d299dd0900c1,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,,1,62,4,75
1812100,2743,SIMPLES_NACIONAL,6a415005-2117-41d7-8488-d299dd0900c1,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3,true,,1,10,4,75
1812100,2743,SIMPLES_NACIONAL,ad393d00-740c-4bbb-9979-d84aeaf21df8,2743,,3.04,true,,1,1,4,75
1812100,2743,SIMPLES_NACIONAL,ad393d00-740c-4bbb-9979-d84aeaf21df8,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3.04,true,,1,2,4,75
1812100,8228,NORMAL,d5de43be-78e9-4dd7-97e8-8f5523b87a78,8228,,2,false,,1,11,1,11
1813001,988,SIMPLES_NACIONAL,30c5c65f-bef0-4302-99e0-9e0c326d3791,988,,2.4,false,,1,2,3,7
1813001,988,SIMPLES_NACIONAL,30c5c65f-bef0-4302-99e0-9e0c326d3791,988,,2.4,true,,1,4,3,7
1813001,988,SIMPLES_NACIONAL,30c5c65f-bef0-4302-99e0-9e0c326d3791,988,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.4,false,,1,1,3,7
1813001,1150,NORMAL,4c1c83a7-5ec6-4a29-bd97-d8b110170840,1150,,2,false,0,1,2,1,2
1813001,1778,NORMAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,2,false,,1,3,3,8
1813001,1778,NORMAL,89547d76-2e0d-41f4-8427-60b0269086c0,1778,,5,false,0,1,3,3,8
1813001,1778,NORMAL,89547d76-2e0d-41f4-8427-60b0269086c0,1778,,5,true,0,1,2,3,8
1813001,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,0,false,,2,65,7,95
1813001,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,3.5,false,,1,19,7,95
1813001,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,5,false,0,1,1,7,95
1813001,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,fad7ba47-dd6d-463e-81f3-44823773bc4a,2,false,0,2,7,7,95
1813001,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,fad7ba47-dd6d-463e-81f3-44823773bc4a,2,true,0,1,3,7,95
1813001,1778,SIMPLES_NACIONAL_EXCESSO_RECEITA_BRUTA,49407486-961b-4baa-8f0d-40082c5843de,1778,,3.47,true,,1,1,1,1
1813001,2174,SIMPLES_NACIONAL,2623ca6b-3eb2-463c-83a9-1d31fe857008,2174,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.01,false,0,1,1,1,1
1813001,2743,NORMAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3,false,,1,6,1,6
1813001,2743,SIMPLES_NACIONAL,6a415005-2117-41d7-8488-d299dd0900c1,2743,,0,false,0,1,77,3,95
1813001,2743,SIMPLES_NACIONAL,ad393d00-740c-4bbb-9979-d84aeaf21df8,2743,,2.7,false,,1,17,3,95
1813001,2743,SIMPLES_NACIONAL,ad393d00-740c-4bbb-9979-d84aeaf21df8,2743,,2.7,true,,1,1,3,95
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,,0,false,0,1,9,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,,2.99,false,,1,1,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,,4.06,false,0,1,6,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,,4.23,false,,1,17,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,,4.23,false,0,1,2,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.99,false,,1,2,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,4.23,true,,1,1,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,4.26,true,,1,1,9,40
1813001,3016,SIMPLES_NACIONAL,06d2b888-ff8b-407a-aab0-d868a9335eba,3016,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,4.26,true,0,1,1,9,40
1813001,6015,SIMPLES_NACIONAL,e0e88829-ab84-45e8-86f9-5e11689a7608,6015,,0,false,0,1,1,1,1
1813001,6989,SIMPLES_NACIONAL,53a1e441-8b40-489c-9325-eb5050f74902,6989,,0,false,,1,2,1,2
1813001,7043,SIMPLES_NACIONAL,4ae315c4-1cbc-4ae2-a1b5-d731eef2df7e,7043,,0,false,,1,6,3,14
1813001,7043,SIMPLES_NACIONAL,4ae315c4-1cbc-4ae2-a1b5-d731eef2df7e,7043,,0,false,0,1,1,3,14
1813001,7043,SIMPLES_NACIONAL,b580f8fc-e2f9-4f64-9963-157e3a4344c2,7043,,0,false,,1,7,3,14
1813001,7375,SIMPLES_NACIONAL,a88d5865-ed77-4f4d-bc75-7e2072c6194c,7375,,0,false,0,1,64,1,64
1813001,7389,SIMPLES_NACIONAL,990ddc81-8a39-4386-8687-d857868e22e5,7389,,3,false,,1,1,1,1
1813001,7531,SIMPLES_NACIONAL,52bb4b5e-3241-4464-ac9a-3ebdb48ad390,7531,,0,false,0,1,15,2,21
1813001,7531,SIMPLES_NACIONAL,52bb4b5e-3241-4464-ac9a-3ebdb48ad390,7531,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,0,1,6,2,21
1813001,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,7994,,0,false,0,1,1,2,13
1813001,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,7994,4d0fe3d7-7b26-406e-a97c-9719abc49942,0,false,0,1,12,2,13
1813001,7994,SIMPLES_NACIONAL_EXCESSO_RECEITA_BRUTA,b66845bf-01af-4818-8f4f-4b7bf49fb149,7994,,0,false,,1,44,1,44
1813001,8404,SIMPLES_NACIONAL,c95b2e82-92f2-4d4f-8260-3d45ac302bc7,8404,,0,false,0,1,9,1,9
1813001,8521,NORMAL,1f50f150-42b2-45b5-9c5d-32b61ce90bdd,8521,,2,false,,1,12,1,12
1813001,8628,SIMPLES_NACIONAL,48b650d1-f69f-4d2d-adec-05540fa0fe7b,8628,,2.6972,false,,1,3,2,32
1813001,8628,SIMPLES_NACIONAL,48b650d1-f69f-4d2d-adec-05540fa0fe7b,8628,,2.6974,false,,1,29,2,32
1813001,8700,SIMPLES_NACIONAL,5ef32bba-126f-4c58-8d15-e50ab0685a59,8700,,2.01,false,,1,14,1,14
1813001,8864,SIMPLES_NACIONAL,e1fe465b-c58e-4d2c-a70c-289ae04f8e74,8864,,5,false,0,1,11,1,11
1813001,8867,SIMPLES_NACIONAL,6b8d6c6c-5891-486a-8297-de18fe88c432,8867,,0,false,,1,1,1,1
1813001,8868,SIMPLES_NACIONAL,9967756c-af7b-409b-aa18-6f0da4fcd26f,8868,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,,1,1,1,1
1813001,8946,SIMPLES_NACIONAL,8337754c-896d-4422-8436-662046f126ce,8946,,0,false,0,1,2,2,4
1813001,8946,SIMPLES_NACIONAL,8337754c-896d-4422-8436-662046f126ce,8946,,2.01,false,,1,2,2,4
1813001,9668,NORMAL,239a6a8b-bbf1-44af-96ad-4679d3cd9f51,9668,,0,false,0,1,43,1,43
1813001,9668,SIMPLES_NACIONAL,239a6a8b-bbf1-44af-96ad-4679d3cd9f51,9668,,0,false,,1,3,3,8
1813001,9668,SIMPLES_NACIONAL,25cc8932-0600-4a61-8440-e526f98faafc,9668,,0,false,0,1,1,3,8
1813001,9668,SIMPLES_NACIONAL,3ead24a9-0087-4a11-a9b0-99b9e16de7cf,9668,,0,false,,1,4,3,8
1813099,430,SIMPLES_NACIONAL,dbdfcd79-c4e6-452f-9aef-94e550ab127e,430,,2.63,false,,1,1,3,4
1813099,430,SIMPLES_NACIONAL,dbdfcd79-c4e6-452f-9aef-94e550ab127e,430,,2.63,true,,1,1,3,4
1813099,430,SIMPLES_NACIONAL,dbdfcd79-c4e6-452f-9aef-94e550ab127e,430,,2.64,true,,1,2,3,4
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,0,false,,2,842,12,1008
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,2,false,0,2,14,12,1008
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,3.5,false,,2,112,12,1008
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,3.5,true,,2,7,12,1008
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,3.5,true,3.2,1,1,12,1008
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,5,false,,2,30,12,1008
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,1778,,5,true,,1,2,12,1008
1813099,1820,SIMPLES_NACIONAL,60ef1cae-8067-47e5-8e30-1f4644087fa4,1820,,5,false,,1,7,1,7
1813099,1872,SIMPLES_NACIONAL,636b0542-6775-4607-874e-604931683fb7,1872,,3.45,false,,1,5,4,71
1813099,1872,SIMPLES_NACIONAL,636b0542-6775-4607-874e-604931683fb7,1872,,3.48,false,,1,63,4,71
1813099,1872,SIMPLES_NACIONAL,636b0542-6775-4607-874e-604931683fb7,1872,,3.48,true,,1,1,4,71
1813099,1872,SIMPLES_NACIONAL,636b0542-6775-4607-874e-604931683fb7,1872,,3.52,false,,1,2,4,71
1813099,2743,SIMPLES_NACIONAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,2743,,2.43,false,,1,1,3,42
1813099,2743,SIMPLES_NACIONAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.43,false,,1,31,3,42
1813099,2743,SIMPLES_NACIONAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,2743,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.91,true,,1,10,3,42
1813099,5302,SIMPLES_NACIONAL,9e93ba4f-f395-4e00-a3ef-d6f69a9fc829,5302,,5,false,,1,58,1,58
1813099,5406,SIMPLES_NACIONAL,241c5e16-7d57-44fb-8d78-ef9edeba169d,5406,,5,false,,1,3,5,8
1813099,5406,SIMPLES_NACIONAL,241c5e16-7d57-44fb-8d78-ef9edeba169d,5406,,5,true,,1,2,5,8
1813099,5406,SIMPLES_NACIONAL,241c5e16-7d57-44fb-8d78-ef9edeba169d,5406,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,5,false,,1,1,5,8
1813099,5406,SIMPLES_NACIONAL,241c5e16-7d57-44fb-8d78-ef9edeba169d,5406,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,5,true,5,1,1,5,8
1813099,5406,SIMPLES_NACIONAL,5ff0c584-bbf0-437c-a0bc-d7214cf527b8,5406,,5,false,,1,1,5,8
1813099,6015,SIMPLES_NACIONAL,f295315a-1cce-46a0-a779-80f56f4f2944,6015,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,0,1,2,3,20
